Level 8, Oh 1.0e-02, Oha 1.0e-04, De 1.0e+01, Ec 2.5e-01
i dt t ke ymin
127 0.00151515 0.175758 0.00778663 0.499537
128 0.00151515 0.177273 0.00784621 0.499529
129 0.00151515 0.178788 0.00790579 0.499521
130 0.00151515 0.180303 0.00796485 0.499513
131 0.00151515 0.181818 0.00802438 0.499504
132 0.00151515 0.183333 0.00808388 0.499496
133 0.00151515 0.184848 0.0081434 0.499488
134 0.00151515 0.186364 0.00820297 0.499479
135 0.00151515 0.187879 0.00826264 0.499471
136 0.00151515 0.189394 0.00832605 0.499462
137 0.00151515 0.190909 0.00838523 0.499453
138 0.00151515 0.192424 0.00844492 0.499444
139 0.00151515 0.193939 0.00850485 0.499436
140 0.00151515 0.195455 0.00856503 0.499427
141 0.00151515 0.19697 0.00862541 0.499418
142 0.00151515 0.198485 0.00868604 0.499409
143 0.00151515 0.2 0.00874691 0.4994
144 0.00151515 0.201515 0.00880807 0.49939
145 0.00151515 0.20303 0.00886953 0.499381
146 0.00151515 0.204545 0.0089313 0.499372
147 0.00151515 0.206061 0.00899323 0.499362
148 0.00151515 0.207576 0.0090555 0.499353
149 0.00151515 0.209091 0.00911815 0.499343
150 0.00151515 0.210606 0.00918114 0.499334
151 0.00151515 0.212121 0.00924448 0.499324
152 0.00151515 0.213636 0.00930817 0.499314
153 0.00151515 0.215152 0.00937222 0.499305
154 0.00151515 0.216667 0.00943661 0.499295
155 0.00151515 0.218182 0.00950128 0.499285
156 0.00151515 0.219697 0.00956613 0.499275
157 0.00151515 0.221212 0.00963117 0.499265
158 0.00151515 0.222727 0.00969648 0.499255
159 0.00151515 0.224242 0.00976205 0.499244
160 0.00151515 0.225758 0.00982788 0.499234
161 0.00151515 0.227273 0.00989393 0.499224
162 0.00151515 0.228788 0.0099602 0.499213
163 0.00151515 0.230303 0.0100267 0.499203
164 0.00151515 0.231818 0.0100933 0.499192
165 0.00151515 0.233333 0.0101601 0.499181
166 0.00151515 0.234848 0.0102271 0.499171
167 0.00151515 0.236364 0.0102942 0.49916
168 0.00151515 0.237879 0.0103614 0.499149
169 0.00151515 0.239394 0.0104289 0.499138
170 0.00151515 0.240909 0.0104965 0.499127
171 0.00151515 0.242424 0.0105642 0.499116
172 0.00151515 0.243939 0.0106324 0.499105
173 0.00151515 0.245455 0.0107007 0.499094
174 0.00151515 0.24697 0.0107693 0.499082
175 0.00151515 0.248485 0.0108381 0.499071
176 0.00151515 0.25 0.0109068 0.49906
177 0.00151515 0.251515 0.0109761 0.499048
178 0.00151515 0.25303 0.0110455 0.499037
179 0.00151515 0.254545 0.0111153 0.499025
180 0.00151515 0.256061 0.0111853 0.499013
181 0.00151515 0.257576 0.0112557 0.499001
182 0.00151515 0.259091 0.0113265 0.49899
183 0.00151515 0.260606 0.0113977 0.498978
184 0.00151515 0.262121 0.0114693 0.498966
185 0.00151515 0.263636 0.0115489 0.498954
186 0.00151515 0.265152 0.0116211 0.498942
187 0.00151515 0.266667 0.0116939 0.498929
188 0.00151515 0.268182 0.0117671 0.498917
189 0.00151515 0.269697 0.0118407 0.498905
190 0.00151515 0.271212 0.0119147 0.498892
191 0.00151515 0.272727 0.011989 0.49888
192 0.00151515 0.274242 0.0120637 0.498867
193 0.00151515 0.275758 0.0121387 0.498855
194 0.00151515 0.277273 0.0122141 0.498842
195 0.00151515 0.278788 0.0122898 0.498829
196 0.00151515 0.280303 0.0123658 0.498817
197 0.00151515 0.281818 0.0124421 0.498804
198 0.00151515 0.283333 0.0125186 0.498791
199 0.00151515 0.284848 0.0125952 0.498778
200 0.00151515 0.286364 0.0126721 0.498765
201 0.00151515 0.287879 0.0127488 0.498751
202 0.00151515 0.289394 0.012826 0.498738
203 0.00151515 0.290909 0.0129035 0.498725
204 0.00151515 0.292424 0.0129812 0.498712
205 0.00151515 0.293939 0.0130592 0.498698
206 0.00151515 0.295455 0.0131374 0.498685
207 0.00151515 0.29697 0.0132158 0.498671
208 0.00151515 0.298485 0.0132944 0.498657
209 0.00151515 0.3 0.0133733 0.498644
210 0.00151515 0.301515 0.013452 0.49863
211 0.00151515 0.30303 0.0135312 0.498616
212 0.00151515 0.304545 0.0136107 0.498602
213 0.00151515 0.306061 0.0136904 0.498588
214 0.00151515 0.307576 0.0137704 0.498574
215 0.00151515 0.309091 0.0138506 0.49856
216 0.00151515 0.310606 0.0139312 0.498546
217 0.00151515 0.312121 0.014012 0.498531
218 0.00151515 0.313636 0.0140931 0.498517
219 0.00151515 0.315152 0.0141746 0.498503
220 0.00151515 0.316667 0.0142564 0.498488
221 0.00151515 0.318182 0.0143385 0.498474
222 0.00151515 0.319697 0.0144208 0.498459
223 0.00151515 0.321212 0.0145034 0.498444
224 0.00151515 0.322727 0.0145864 0.49843
225 0.00151515 0.324242 0.0146697 0.498415
226 0.00151515 0.325758 0.0147535 0.4984
227 0.00151515 0.327273 0.0148377 0.498385
228 0.00151515 0.328788 0.0149223 0.49837
229 0.00151515 0.330303 0.0150074 0.498355
230 0.00151515 0.331818 0.0150965 0.49834
231 0.00151515 0.333333 0.0151823 0.498325
232 0.00151515 0.334848 0.0152687 0.49831
233 0.00151515 0.336364 0.0153553 0.498294
234 0.00151515 0.337879 0.0154423 0.498279
235 0.00151515 0.339394 0.0155296 0.498263
236 0.00151515 0.340909 0.0156173 0.498248
237 0.00151515 0.342424 0.0157052 0.498232
238 0.00151515 0.343939 0.0157935 0.498217
239 0.00151515 0.345455 0.0158821 0.498201
240 0.00151515 0.34697 0.015971 0.498185
241 0.00151515 0.348485 0.0160602 0.498169
242 0.00151515 0.35 0.0161496 0.498153
243 0.00151515 0.351515 0.0162392 0.498137
244 0.00151515 0.35303 0.0163291 0.498121
245 0.00151515 0.354545 0.0164192 0.498105
246 0.00151515 0.356061 0.0165095 0.498089
247 0.00151515 0.357576 0.0166 0.498073
248 0.00151515 0.359091 0.0166908 0.498056
249 0.00151515 0.360606 0.0167818 0.49804
250 0.00151515 0.362121 0.0168732 0.498024
251 0.00151515 0.363636 0.0169648 0.498007
252 0.00151515 0.365152 0.0170567 0.497991
253 0.00151515 0.366667 0.0171501 0.497974
254 0.00151515 0.368182 0.0172429 0.497957
255 0.00151515 0.369697 0.017336 0.497941
256 0.00151515 0.371212 0.0174293 0.497924
257 0.00151515 0.372727 0.0175228 0.497907
258 0.00151515 0.374242 0.0176167 0.49789
259 0.00151515 0.375758 0.0177109 0.497873
260 0.00151515 0.377273 0.0178055 0.497856
261 0.00151515 0.378788 0.0179005 0.497838
262 0.00151515 0.380303 0.0179958 0.497821
263 0.00151515 0.381818 0.0180915 0.497804
264 0.00151515 0.383333 0.0181877 0.497787
265 0.00151515 0.384848 0.0182842 0.497769
266 0.00151515 0.386364 0.0183811 0.497752
267 0.00151515 0.387879 0.0184785 0.497734
268 0.00151515 0.389394 0.0185762 0.497716
269 0.00151515 0.390909 0.0186743 0.497699
270 0.00151515 0.392424 0.0187728 0.497681
271 0.00151515 0.393939 0.0188716 0.497663
272 0.00151515 0.395455 0.0189707 0.497645
273 0.00151515 0.39697 0.0190701 0.497627
274 0.00151515 0.398485 0.0191699 0.497609
275 0.00151515 0.4 0.0192731 0.497591
276 0.00151515 0.401515 0.0193738 0.497573
277 0.00151515 0.40303 0.0194749 0.497554
278 0.00151515 0.404545 0.0195762 0.497536
279 0.00151515 0.406061 0.0196778 0.497518
280 0.00151515 0.407576 0.0197797 0.497499
281 0.00151515 0.409091 0.0198819 0.497481
282 0.00151515 0.410606 0.0199844 0.497462
283 0.00151515 0.412121 0.0200867 0.497443
284 0.00151515 0.413636 0.0201897 0.497425
285 0.00151515 0.415152 0.0202929 0.497406
286 0.00151515 0.416667 0.0203964 0.497387
287 0.00151515 0.418182 0.0205003 0.497368
288 0.00151515 0.419697 0.0206043 0.497349
289 0.00151515 0.421212 0.0207087 0.49733
290 0.00151515 0.422727 0.0208133 0.497311
291 0.00151515 0.424242 0.0209183 0.497292
292 0.00151515 0.425758 0.0210224 0.497272
293 0.00151515 0.427273 0.0211279 0.497253
294 0.00151515 0.428788 0.0212337 0.497233
295 0.00151515 0.430303 0.0213398 0.497214
296 0.00151515 0.431818 0.0214462 0.497194
297 0.00151515 0.433333 0.0215529 0.497175
298 0.00151515 0.434848 0.0216598 0.497155
299 0.00151515 0.436364 0.0217683 0.497135
300 0.00151515 0.437879 0.0218762 0.497116
301 0.00151515 0.439394 0.0219845 0.497096
302 0.00151515 0.440909 0.022093 0.497076
303 0.00151515 0.442424 0.0222017 0.497056
304 0.00151515 0.443939 0.0223108 0.497036
305 0.00151515 0.445455 0.0224203 0.497016
306 0.00151515 0.44697 0.0225301 0.496995
307 0.00151515 0.448485 0.0226403 0.496975
308 0.00151515 0.45 0.0227508 0.496955
309 0.00151515 0.451515 0.0228618 0.496934
310 0.00151515 0.45303 0.022973 0.496914
311 0.00151515 0.454545 0.0230847 0.496893
312 0.00151515 0.456061 0.0231967 0.496873
313 0.00151515 0.457576 0.0233091 0.496852
314 0.00151515 0.459091 0.0234219 0.496831
315 0.00151515 0.460606 0.023535 0.496811
316 0.00151515 0.462121 0.0236485 0.49679
317 0.00151515 0.463636 0.0237623 0.496769
318 0.00151515 0.465152 0.0238765 0.496748
319 0.00151515 0.466667 0.023991 0.496727
320 0.00151515 0.468182 0.0241059 0.496706
321 0.00151515 0.469697 0.0242211 0.496685
322 0.00151515 0.471212 0.0243366 0.496663
323 0.00151515 0.472727 0.0244524 0.496642
324 0.00151515 0.474242 0.0245685 0.496621
325 0.00151515 0.475758 0.0246849 0.496599
326 0.00151515 0.477273 0.0248016 0.496578
327 0.00151515 0.478788 0.0249186 0.496556
328 0.00151515 0.480303 0.025036 0.496534
329 0.00151515 0.481818 0.0251534 0.496513
330 0.00151515 0.483333 0.0252712 0.496491
331 0.00151515 0.484848 0.0253894 0.496469
332 0.00151515 0.486364 0.0255079 0.496447
333 0.00151515 0.487879 0.0256268 0.496425
334 0.00151515 0.489394 0.025746 0.496403
335 0.00151515 0.490909 0.0258656 0.496381
336 0.00151515 0.492424 0.0259855 0.496359
337 0.00151515 0.493939 0.0261058 0.496337
338 0.00151515 0.495455 0.0262267 0.496315
339 0.00151515 0.49697 0.0263477 0.496292
340 0.00151515 0.498485 0.026469 0.49627
341 0.00151515 0.5 0.0265907 0.496247
342 0.00151515 0.501515 0.0267128 0.496225
343 0.00151515 0.50303 0.0268352 0.496202
344 0.00151515 0.504545 0.026958 0.496179
345 0.00151515 0.506061 0.0270811 0.496157
346 0.00151515 0.507576 0.0272046 0.496134
347 0.00151515 0.509091 0.0273287 0.496111
348 0.00151515 0.510606 0.0274532 0.496088
349 0.00151515 0.512121 0.027578 0.496065
350 0.00151515 0.513636 0.0277032 0.496042
351 0.00151515 0.515152 0.0278288 0.496019
352 0.00151515 0.516667 0.0279546 0.495996
353 0.00151515 0.518182 0.0280808 0.495972
354 0.00151515 0.519697 0.0282073 0.495949
355 0.00151515 0.521212 0.0283341 0.495926
356 0.00151515 0.522727 0.0284612 0.495902
357 0.00151515 0.524242 0.0285887 0.495879
358 0.00151515 0.525758 0.0287166 0.495855
359 0.00151515 0.527273 0.0288448 0.495831
360 0.00151515 0.528788 0.0289734 0.495808
361 0.00151515 0.530303 0.0291023 0.495784
362 0.00151515 0.531818 0.0292316 0.49576
363 0.00151515 0.533333 0.0293613 0.495736
364 0.00151515 0.534848 0.0294913 0.495712
365 0.00151515 0.536364 0.0296216 0.495688
366 0.00151515 0.537879 0.0297523 0.495664
367 0.00151515 0.539394 0.0298833 0.49564
368 0.00151515 0.540909 0.0300147 0.495615
369 0.00151515 0.542424 0.0301464 0.495591
370 0.00151515 0.543939 0.0302784 0.495567
371 0.00151515 0.545455 0.0304108 0.495542
372 0.00151515 0.54697 0.0305436 0.495518
373 0.00151515 0.548485 0.0306752 0.495493
374 0.00151515 0.55 0.0308076 0.495468
375 0.00151515 0.551515 0.0309411 0.495444
376 0.00151515 0.55303 0.031075 0.495419
377 0.00151515 0.554545 0.0312116 0.495394
378 0.00151515 0.556061 0.0313461 0.495369
379 0.00151515 0.557576 0.031481 0.495344
380 0.00151515 0.559091 0.0316163 0.495319
381 0.00151515 0.560606 0.0317519 0.495294
382 0.00151515 0.562121 0.0318879 0.495269
383 0.00151515 0.563636 0.0320243 0.495243
384 0.00151515 0.565152 0.0321609 0.495218
385 0.00151515 0.566667 0.032298 0.495193
386 0.00151515 0.568182 0.0324353 0.495167
387 0.00151515 0.569697 0.032573 0.495142
388 0.00151515 0.571212 0.0327111 0.495116
389 0.00151515 0.572727 0.0328496 0.495091
390 0.00151515 0.574242 0.0329884 0.495065
391 0.00151515 0.575758 0.0331275 0.495039
392 0.00151515 0.577273 0.033267 0.495013
393 0.00151515 0.578788 0.0334069 0.494987
394 0.00151515 0.580303 0.0335471 0.494961
395 0.00151515 0.581818 0.0336877 0.494935
396 0.00151515 0.583333 0.0338286 0.494909
397 0.00151515 0.584848 0.0339699 0.494883
398 0.00151515 0.586364 0.0341115 0.494857
399 0.00151515 0.587879 0.0342534 0.494831
400 0.00151515 0.589394 0.0343958 0.494804
401 0.00151515 0.590909 0.0345384 0.494778
402 0.00151515 0.592424 0.0346815 0.494752
403 0.00151515 0.593939 0.0348248 0.494725
404 0.00151515 0.595455 0.0349686 0.494699
405 0.00151515 0.59697 0.0351126 0.494672
406 0.00151515 0.598485 0.0352571 0.494645
407 0.00151515 0.6 0.0354018 0.494618
408 0.00151515 0.601515 0.0355469 0.494592
409 0.00151515 0.60303 0.0356924 0.494565
410 0.00151515 0.604545 0.0358382 0.494538
411 0.00151515 0.606061 0.0359843 0.494511
412 0.00151515 0.607576 0.0361307 0.494484
413 0.00151515 0.609091 0.0362775 0.494457
414 0.00151515 0.610606 0.0364246 0.494429
415 0.00151515 0.612121 0.0365721 0.494402
416 0.00151515 0.613636 0.0367199 0.494375
417 0.00151515 0.615152 0.036868 0.494347
418 0.00151515 0.616667 0.0370165 0.49432
419 0.00151515 0.618182 0.0371654 0.494292
420 0.00151515 0.619697 0.0373146 0.494265
421 0.00151515 0.621212 0.0374642 0.494237
422 0.00151515 0.622727 0.0376141 0.49421
423 0.00151515 0.624242 0.0377644 0.494182
424 0.00151515 0.625758 0.0379151 0.494154
425 0.00151515 0.627273 0.0380661 0.494126
426 0.00151515 0.628788 0.0382174 0.494098
427 0.00151515 0.630303 0.0383691 0.49407
428 0.00151515 0.631818 0.0385212 0.494042
429 0.00151515 0.633333 0.0386736 0.494014
430 0.00151515 0.634848 0.0388264 0.493986
431 0.00151515 0.636364 0.0389795 0.493957
432 0.00151515 0.637879 0.0391329 0.493929
433 0.00151515 0.639394 0.0392867 0.493901
434 0.00151515 0.640909 0.0394409 0.493872
435 0.00151515 0.642424 0.0395955 0.493844
436 0.00151515 0.643939 0.0397504 0.493815
437 0.00151515 0.645455 0.0399053 0.493786
438 0.00151515 0.64697 0.0400606 0.493758
439 0.00151515 0.648485 0.0402162 0.493729
440 0.00151515 0.65 0.0403723 0.4937
441 0.00151515 0.651515 0.0405286 0.493671
442 0.00151515 0.65303 0.0406854 0.493642
443 0.00151515 0.654545 0.0408425 0.493613
444 0.00151515 0.656061 0.0409999 0.493584
445 0.00151515 0.657576 0.0411577 0.493555
446 0.00151515 0.659091 0.0413158 0.493526
447 0.00151515 0.660606 0.0414743 0.493497
448 0.00151515 0.662121 0.0416331 0.493467
449 0.00151515 0.663636 0.0417923 0.493438
450 0.00151515 0.665152 0.0419518 0.493408
451 0.00151515 0.666667 0.0421117 0.493379
452 0.00151515 0.668182 0.042272 0.493349
453 0.00151515 0.669697 0.0424325 0.49332
454 0.00151515 0.671212 0.0425935 0.49329
455 0.00151515 0.672727 0.0427551 0.49326
456 0.00151515 0.674242 0.042917 0.49323
457 0.00151515 0.675758 0.0430793 0.493201
458 0.00151515 0.677273 0.043242 0.493171
459 0.00151515 0.678788 0.043405 0.493141
460 0.00151515 0.680303 0.0435683 0.493111
461 0.00151515 0.681818 0.043732 0.49308
462 0.00151515 0.683333 0.043896 0.49305
463 0.00151515 0.684848 0.0440604 0.49302
464 0.00151515 0.686364 0.0442252 0.49299
465 0.00151515 0.687879 0.0443903 0.492959
466 0.00151515 0.689394 0.0445558 0.492929
